question,accepted_response,rejected_response,rule
"In the case of Alan John Hyland (as Executor of the Estate of the late Lily Therese Hyland) v Jacqueline Sheri Woods [2011] NSWSC 266, what was the court's decision regarding the distribution of the monies in the Commonwealth Bank of Australia fixed deposit account?","The court decided in the case of Alan John Hyland (as Executor of the Estate of the late Lily Therese Hyland) v Jacqueline Sheri Woods [2011] NSWSC 266, that the monies in the Commonwealth Bank of Australia fixed deposit account should be distributed as part of Lily Therese Hyland's estate.","In the case of Alan John Hyland (as Executor of the Estate of the late Lily Therese Hyland) v Jacqueline Sheri Woods [2011] NSWSC 266, it was determined by the court that the monies in the Commonwealth Bank of Australia fixed deposit account should be distributed to Jacqueline Sheri Woods.",Voice Rule
"What is the test for determining a ""genuine"" dispute or claim in the context of section 459H, as interpreted by Australian Commonwealth courts?","Australian Commonwealth courts determine a ""genuine"" dispute or claim under section 459H by checking if there exists a serious question to be tried, and not assessing the merits of the dispute or claim.","The test for determining a ""genuine"" dispute or claim in the context of section 459H, as interpreted by Australian Commonwealth courts, is understood to be whether there is a serious question to be tried or a plausible contention requiring investigation.",Voice Rule
What were the charges against the applicant in the case of R v Perry [2000] NSWCCA 375 in New South Wales?,The applicant faced charges of armed robbery and malicious wounding in the case of R v Perry [2000] NSWCCA 375 in New South Wales.,"In the case of R v Perry [2000] NSWCCA 375 in New South Wales, the applicant was charged with armed robbery and detainment for advantage.",Voice Rule
"In the context of the Anti-Discrimination Act (AD Act) in New South Wales, how is the term ""incite"" interpreted in relation to the offence of serious racial vilification?","Under the Anti-Discrimination Act in New South Wales, the term ""incite"" in relation to the offence of serious racial vilification is interpreted as urging or stimulating others to demonstrate hostility or violent acts towards a person or group due to their race or ethnicity.","In relation to the offence of serious racial vilification under the Anti-Discrimination Act (AD Act) in New South Wales, the term ""incite"" is interpreted as the act of urging or encouraging others to feel hatred, contempt, or severe ridicule towards a person or group on the basis of their race.",Voice Rule
What was the final decision of the court in the case of Colbron v Freeman (No 2) [2014] NSWSC 1528 in New South Wales?,The court in the case of Colbron v Freeman (No 2) [2014] NSWSC 1528 in New South Wales dismissed the claimant's case.,"The final decision in the case of Colbron v Freeman (No 2) [2014] NSWSC 1528 was given by the court in New South Wales, which found in favour of Freeman.",Voice Rule
"Under the Criminal Assets Recovery Act 1990 (NSW), what powers does the New South Wales Crime Commission have in relation to restraining orders and property control?","Under the Criminal Assets Recovery Act 1990 (NSW), the New South Wales Crime Commission holds the power to apply for restraining orders and exercise control over property suspected of being proceeds of crime.","Under the Criminal Assets Recovery Act 1990 (NSW), the authority to issue restraining orders and exercise control over property is granted to the New South Wales Crime Commission.",Voice Rule
"Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), what is the Secretary required to do if a person's application for a payment under the BSWAT payment scheme was refused before the commencement day due to a determination that the payment amount for the person was nil?","Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), the Secretary must reconsider the person's application that was previously refused before the commencement day due to a zero payment determination.","Under the Business Services Wage Assessment Tool Payment Scheme Amendment Act 2016 (Cth), it is required by the Secretary to reassess the person's application that was refused before the commencement day due to a determination that the payment amount for the person was nil.",Voice Rule
"In the case of Angela Therese Harvey (nee Alecci) v Eileen Therese Alecci & Anor [2002] NSWSC 898, what was the court's decision regarding the order for mediation?",The court in the case of Angela Therese Harvey (nee Alecci) v Eileen Therese Alecci & Anor [2002] NSWSC 898 ordered the parties to proceed with mediation.,"In the case of Angela Therese Harvey (nee Alecci) v Eileen Therese Alecci & Anor [2002] NSWSC 898, the order for mediation was not granted by the court.",Voice Rule
"In the case of Singh v MIMA [1998] FCA 1240, what was the main argument presented by the applicant for review of the Refugee Review Tribunal's decision?","In the Singh v MIMA [1998] FCA 1240 case, the applicant argued for a review of the Refugee Review Tribunal's decision, primarily on the basis that the Tribunal had not properly considered the evidence of genuine fear of persecution.","In the case of Singh v MIMA [1998] FCA 1240, the main argument presented by the applicant for review of the Refugee Review Tribunal's decision was that an error of law was allegedly committed by the Tribunal in the interpretation of the definition of ""refugee"" under the 1951 Convention Relating to the Status of Refugees, as incorporated into Australian law.",Voice Rule
"In the case of Carvajal v Lamba [2019] NSWDC 284, did the court draw any adverse inference against the plaintiff for not mentioning certain details about the accident in her initial descriptions?","In the Carvajal v Lamba [2019] NSWDC 284 case, the court did not draw any adverse inference against the plaintiff for omitting certain details about the accident in her initial descriptions.","In the Carvajal v Lamba [2019] NSWDC 284 case, any adverse inference against the plaintiff for the omission of certain accident details in her initial descriptions was not drawn by the court.",Voice Rule
What were the considerations taken into account by the Court of Appeal in the case of Collins v The Queen [2018] HCA 18 to conclude that the prosecution case was strong and guilt had been proved beyond reasonable doubt?,"The Court of Appeal, in the case of Collins v The Queen [2018] HCA 18, considered the defendant's consistent record of criminal activity, the direct evidence linking him to the crime, and the lack of credible defence to reach a conclusion of a strong prosecution case and guilt proven beyond a reasonable doubt.","In the case of Collins v The Queen [2018] HCA 18, it was determined by the Court of Appeal that the strength of the prosecution's case and the proving of guilt beyond reasonable doubt was based on considerations such as the consistency of witness testimonies, the presence of strong circumstantial evidence, and the defendant's own admissions.",Voice Rule
"In the context of the decision in Amir v Director of Professional Services Review [2021] FCA 745, how is the term ""decide"" in s 88A(1) construed?","The term ""decide"" in s 88A(1) is construed as making a determination after considering all relevant material, as per the decision in Amir v Director of Professional Services Review [2021] FCA 745.","In the context of the decision in Amir v Director of Professional Services Review [2021] FCA 745, the term ""decide"" in s 88A(1) is construed as involving a consideration of all relevant factors, not simply a mechanical or automatic application of criteria, according to the interpretation provided by the court.",Voice Rule
"In the case of Haas Timber and Trading Co Pty Ltd v Wade [1954] HCA 39, what was the court's stance on a person's right to relief if they were induced to take an allotment of shares by a fraudulent misrepresentation, but only had suspicions or heard rumours without certain information?","In the Haas Timber and Trading Co Pty Ltd v Wade [1954] HCA 39 case, the court held that a person, despite only harbouring suspicions or hearing rumours without definitive information, is entitled to relief if they were fraudulently induced to take an allotment of shares.","In the case of Haas Timber and Trading Co Pty Ltd v Wade [1954] HCA 39, it was determined by the court that a person, despite having only suspicions or hearing rumours without certain information, is entitled to relief if a fraudulent misrepresentation was the cause of their induction to take an allotment of shares.",Voice Rule
What were the offences that Alkaloids of Australia Pty Ltd pleaded guilty to in the case of Commonwealth Director of Public Prosecutions v Alkaloids of Australia Pty Ltd [2022] FCA 1424?,Alkaloids of Australia Pty Ltd pleaded guilty to the offences in the case of Commonwealth Director of Public Prosecutions v Alkaloids of Australia Pty Ltd [2022] FCA 1424.,"In the case of Commonwealth Director of Public Prosecutions v Alkaloids of Australia Pty Ltd [2022] FCA 1424, the offences to which Alkaloids of Australia Pty Ltd pleaded guilty were not specified in your inquiry.",Voice Rule
"In the case of Artz 2 Design Pty Limited v Ku Ring Gai Council [2015] NSWLEC 1380, what were the actions taken by the Council in response to the amendments made to the development plans?","In response to the amendments made to the development plans in the Artz 2 Design Pty Limited v Ku Ring Gai Council [2015] NSWLEC 1380 case, the Council conducted a re-evaluation of the proposed modifications.","In response to the amendments made to the development plans in the case of Artz 2 Design Pty Limited v Ku Ring Gai Council [2015] NSWLEC 1380, the actions taken by the Council were not specified.",Voice Rule
"In the case of Miller v Galderisi [2009] NSWCA 353, what were the issues that arose on appeal?",The appeal in the case of Miller v Galderisi [2009] NSWCA 353 brought up issues related to duty of care and damages.,"In the Miller v Galderisi [2009] NSWCA 353 case, the issues that were brought up on appeal were concerning the assessment of damages, the liability for the accident, and the contributory negligence.",Voice Rule
"In the case of Young & anor v Everett & anor [2017] NSWLEC 1670, what was the recommendation of Mr Peter Richards, the consulting arborist, regarding the tree in question?","In the case of Young & anor v Everett & anor [2017] NSWLEC 1670, Mr Peter Richards, the consulting arborist, recommended the removal of the tree in question.","In the case of Young & anor v Everett & anor [2017] NSWLEC 1670, the recommendation regarding the tree in question was made by Mr Peter Richards, the consulting arborist, to prune the tree rather than to remove it completely.",Voice Rule
What are the three additional assets of BM that need to be included in the distributable pool according to the appellant's case in the decision of Iliopoulos v BM2008 Pty Ltd (In Liquidation) (ACN 005 762 685) [2010] FCA 787?,"In the Iliopoulos v BM2008 Pty Ltd (In Liquidation) (ACN 005 762 685) [2010] FCA 787 decision, the appellant asserts that the distributable pool should include three additional assets of BM, namely, the Canberra property, the Porsche car, and the loan to the Oriel Building.","In the decision of Iliopoulos v BM2008 Pty Ltd (In Liquidation) (ACN 005 762 685) [2010] FCA 787, it is argued by the appellant that three additional assets of BM should be included in the distributable pool; these include the debt owed by BM to its director, the company's interest in a property, and the return on a loan provided by BM.",Voice Rule
What claims are the applicants making in the proceeding of Taylor v Saloniklis [2013] FCA 679?,The applicants in the Taylor v Saloniklis [2013] FCA 679 proceeding are asserting claims of copyright infringement.,"In the proceeding of Taylor v Saloniklis [2013] FCA 679, it is claimed by the applicants that the respondents have contravened the Trade Practices Act of 1974.",Voice Rule
What were the orders and directions given by the court in the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201?,"The court ordered Novartis Pharmaceuticals Australia Pty Ltd to pay the legal costs of Bayer Australia Limited and directed both parties to submit their draft minutes of order, in the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201.","In the case of Novartis Pharmaceuticals Australia Pty Ltd v Bayer Australia Limited (No 2) [2013] FCA 1201, orders and directions were issued by the court, but the specifics of these are not provided in your request.",Voice Rule
